SOURCE_ROW_NUMBER,listing_id,price,PRICE_FILTER_MODE,USED_FOR_TRAIN,EXCLUSION_REASON,PCS_DATE
144,19338238,1699000,BASELINE,Y,,2026-09-18
145,19336697,859000,BASELINE,Y,,2026-09-18
146,18819316,679000,BASELINE,Y,,2026-09-18
147,18846580,899000,BASELINE,Y,,2026-09-18
148,19338096,1299000,BASELINE,Y,,2026-09-18
149,18918512,1199000,BASELINE,Y,,2026-09-18
150,18846319,919000,BASELINE,Y,,2026-09-18
151,19338219,1649000,BASELINE,Y,,2026-09-18
152,18834153,1259000,BASELINE,Y,,2026-09-18
153,19336678,1559000,BASELINE,Y,,2026-09-18
154,19338190,679000,BASELINE,Y,,2026-09-18
155,18837709,1379000,BASELINE,Y,,2026-09-18
156,19338305,679000,BASELINE,Y,,2026-09-18
157,19336760,1169000,BASELINE,Y,,2026-09-18
158,18837558,1799000,BASELINE,Y,,2026-09-18
159,19338165,769000,BASELINE,Y,,2026-09-18
160,19336753,859000,BASELINE,Y,,2026-09-18
161,19338286,909000,BASELINE,Y,,2026-09-18
162,19338138,759000,BASELINE,Y,,2026-09-18
163,19021715,629000,BASELINE,Y,,2026-09-18
164,19338252,859000,BASELINE,Y,,2026-09-18
165,19338124,799000,BASELINE,Y,,2026-09-18
166,19336711,879000,BASELINE,Y,,2026-09-18
167,18822406,939000,BASELINE,Y,,2026-09-18
168,18837507,929000,BASELINE,Y,,2026-09-18
169,19341127,699000,BASELINE,Y,,2026-09-18
170,19329661,529000,BASELINE,Y,,2026-09-18
171,19069889,579000,BASELINE,Y,,2026-09-18
172,17756442,579000,BASELINE,Y,,2026-09-18
173,19258483,359000,BASELINE,Y,,2026-09-18
174,19203932,489000,BASELINE,Y,,2026-09-18
175,19064178,398000,BASELINE,Y,,2026-09-18
176,19057884,325000,BASELINE,Y,,2026-09-18
177,17852353,699000,BASELINE,Y,,2026-09-18
178,19115557,578000,BASELINE,Y,,2026-09-18
179,19088802,379000,BASELINE,Y,,2026-09-18
180,19088792,429000,BASELINE,Y,,2026-09-18
181,18973618,419000,BASELINE,Y,,2026-09-18
182,18854233,319000,BASELINE,Y,,2026-09-18
183,17767156,799000,BASELINE,Y,,2026-09-18
184,19101799,499000,BASELINE,Y,,2026-09-18
185,18858617,879000,BASELINE,Y,,2026-09-18
186,17886021,688000,BASELINE,Y,,2026-09-18
187,19300627,488000,BASELINE,Y,,2026-09-18
188,19305294,688000,BASELINE,Y,,2026-09-18
189,19298465,498000,BASELINE,Y,,2026-09-18
190,13771497,498000,BASELINE,Y,,2026-09-18
191,19080073,598000,BASELINE,Y,,2026-09-18
192,19137955,459000,BASELINE,Y,,2026-09-18
193,19250332,300000,BASELINE,Y,,2026-09-18
194,19036168,279000,BASELINE,Y,,2026-09-18
195,18715353,1490000,BASELINE,Y,,2026-09-18
196,19113194,349000,BASELINE,Y,,2026-09-18
197,19043874,299000,BASELINE,Y,,2026-09-18
198,19216990,349000,BASELINE,Y,,2026-09-18
199,19339840,399000,BASELINE,Y,,2026-09-18
200,18553887,999000,BASELINE,Y,,2026-09-18
201,19224796,1100000,BASELINE,Y,,2026-09-18
202,18824922,1590000,BASELINE,Y,,2026-09-18
203,18530041,2390000,BASELINE,Y,,2026-09-18
204,17030964,699000,BASELINE,Y,,2026-09-18
205,19243726,979000,BASELINE,Y,,2026-09-18
206,18458222,799000,BASELINE,Y,,2026-09-18
207,16019371,1890000,BASELINE,Y,,2026-09-18
208,17767943,699000,BASELINE,Y,,2026-09-18
209,19221636,499000,BASELINE,Y,,2026-09-18
210,18878208,1590000,BASELINE,Y,,2026-09-18
211,19253512,1268000,BASELINE,Y,,2026-09-18
212,19211764,319000,BASELINE,Y,,2026-09-18
213,18837711,409000,BASELINE,Y,,2026-09-18
214,19250526,659000,BASELINE,Y,,2026-09-18
215,19337980,829000,BASELINE,Y,,2026-09-18
216,19067380,529000,BASELINE,Y,,2026-09-18
217,19247532,699000,BASELINE,Y,,2026-09-18
218,18966982,559000,BASELINE,Y,,2026-09-18
219,19125092,829000,BASELINE,Y,,2026-09-18
220,17603132,1890000,BASELINE,Y,,2026-09-18
221,18830905,1290000,BASELINE,Y,,2026-09-18
222,18679381,1990000,BASELINE,Y,,2026-09-18
223,18838292,1850000,BASELINE,Y,,2026-09-18
224,19132491,529000,BASELINE,Y,,2026-09-18
225,19333958,829000,BASELINE,Y,,2026-09-18
226,19272481,599000,BASELINE,Y,,2026-09-18
227,19304328,459000,BASELINE,Y,,2026-09-18
228,19301844,398000,BASELINE,Y,,2026-09-18
229,18387616,479000,BASELINE,Y,,2026-09-18
230,18976438,1020000,BASELINE,Y,,2026-09-18
231,16929461,929000,BASELINE,Y,,2026-09-18
232,18321205,999000,BASELINE,Y,,2026-09-18
233,19183507,1150000,BASELINE,Y,,2026-09-18
234,19327430,929000,BASELINE,Y,,2026-09-18
235,16797211,1249000,BASELINE,Y,,2026-09-18
236,17172849,699000,BASELINE,Y,,2026-09-18
237,17217583,799000,BASELINE,Y,,2026-09-18
238,19335722,599000,BASELINE,Y,,2026-09-18
239,19325992,1398000,BASELINE,Y,,2026-09-18
240,19251751,598000,BASELINE,Y,,2026-09-18
241,18147875,898000,BASELINE,Y,,2026-09-18
242,15094785,655000,BASELINE,Y,,2026-09-18
243,19244051,799000,BASELINE,Y,,2026-09-18
244,19066119,859000,BASELINE,Y,,2026-09-18
245,19178407,799000,BASELINE,Y,,2026-09-18
246,18699175,999000,BASELINE,Y,,2026-09-18
247,19314241,699000,BASELINE,Y,,2026-09-18
248,19320293,499000,BASELINE,Y,,2026-09-18
249,19294747,499000,BASELINE,Y,,2026-09-18
250,19270914,759000,BASELINE,Y,,2026-09-18
251,19339104,359000,BASELINE,Y,,2026-09-18
252,19340541,1100000,BASELINE,Y,,2026-09-18
253,19284336,379000,BASELINE,Y,,2026-09-18
254,19271918,699000,BASELINE,Y,,2026-09-18
255,19322850,929000,BASELINE,Y,,2026-09-18
256,18331740,729000,BASELINE,Y,,2026-09-18
257,18830937,659000,BASELINE,Y,,2026-09-18
258,19221207,1050000,BASELINE,Y,,2026-09-18
259,19273173,699000,BASELINE,Y,,2026-09-18
260,19179329,459000,BASELINE,Y,,2026-09-18
261,19036092,659000,BASELINE,Y,,2026-09-18
262,19338935,759000,BASELINE,Y,,2026-09-18
263,19271729,759000,BASELINE,Y,,2026-09-18
264,19323179,729000,BASELINE,Y,,2026-09-18
265,18931621,999000,BASELINE,Y,,2026-09-18
266,19257378,429000,BASELINE,Y,,2026-09-18
267,19148826,459000,BASELINE,Y,,2026-09-18
268,19271449,1290000,BASELINE,Y,,2026-09-18
269,19341029,489000,BASELINE,Y,,2026-09-18
270,19223317,899000,BASELINE,Y,,2026-09-18
271,19192209,799000,BASELINE,Y,,2026-09-18
272,19338769,559000,BASELINE,Y,,2026-09-18
273,19240073,599000,BASELINE,Y,,2026-09-18
274,19048583,1150000,BASELINE,Y,,2026-09-18
275,18924221,430000,BASELINE,Y,,2026-09-18
276,19288101,444000,BASELINE,Y,,2026-09-18
277,19288051,354000,BASELINE,Y,,2026-09-18
278,19025103,599000,BASELINE,Y,,2026-09-18
279,19160495,249000,BASELINE,Y,,2026-09-18
280,19160523,569000,BASELINE,Y,,2026-09-18
281,18924195,429000,BASELINE,Y,,2026-09-18
282,19253499,318000,BASELINE,Y,,2026-09-18
283,19221842,899000,BASELINE,Y,,2026-09-18
284,19201579,729000,BASELINE,Y,,2026-09-18
285,19197076,440000,BASELINE,Y,,2026-09-18
286,19200168,699000,BASELINE,Y,,2026-09-18
287,18917163,999000,BASELINE,Y,,2026-09-18
288,19141112,679000,BASELINE,Y,,2026-09-18
289,18826506,635000,BASELINE,Y,,2026-09-18
290,19322769,559000,BASELINE,Y,,2026-09-18
291,19322773,369000,BASELINE,Y,,2026-09-18
292,19340992,895000,BASELINE,Y,,2026-09-18
293,19323070,359000,BASELINE,Y,,2026-09-18
294,19334134,629000,BASELINE,Y,,2026-09-18
295,19334154,310000,BASELINE,Y,,2026-09-18
296,19334180,249000,BASELINE,Y,,2026-09-18
297,19334193,759000,BASELINE,Y,,2026-09-18
298,19334209,499000,BASELINE,Y,,2026-09-18
299,19338518,349000,BASELINE,Y,,2026-09-18
300,19338543,159000,BASELINE,Y,,2026-09-18
301,19025076,624000,BASELINE,Y,,2026-09-18
302,19322506,419000,BASELINE,Y,,2026-09-18
303,19322516,599000,BASELINE,Y,,2026-09-18
304,19322528,569000,BASELINE,Y,,2026-09-18
305,19322557,499000,BASELINE,Y,,2026-09-18
306,19322568,479000,BASELINE,Y,,2026-09-18
307,19324784,449000,BASELINE,Y,,2026-09-18
308,19053309,679000,BASELINE,Y,,2026-09-18
309,18978410,739000,BASELINE,Y,,2026-09-18
310,19247589,579000,BASELINE,Y,,2026-09-18
311,18778584,1099000,BASELINE,Y,,2026-09-18
312,18159446,399000,BASELINE,Y,,2026-09-18
313,19235285,619000,BASELINE,Y,,2026-09-18
314,19106384,699000,BASELINE,Y,,2026-09-18
315,19217999,899000,BASELINE,Y,,2026-09-18
316,19194573,849000,BASELINE,Y,,2026-09-18
317,19231172,699000,BASELINE,Y,,2026-09-18
318,19325881,369000,BASELINE,Y,,2026-09-18
319,19252410,249000,BASELINE,Y,,2026-09-18
320,19267755,559000,BASELINE,Y,,2026-09-18
321,18712234,599000,BASELINE,Y,,2026-09-18
322,19242911,649000,BASELINE,Y,,2026-09-18
323,18699881,447000,BASELINE,Y,,2026-09-18
324,18862993,279000,BASELINE,Y,,2026-09-18
325,19320592,899000,BASELINE,Y,,2026-09-18
326,19086216,889000,BASELINE,Y,,2026-09-18
327,19127685,399000,BASELINE,Y,,2026-09-18
328,18730550,847000,BASELINE,Y,,2026-09-18
329,18988934,479000,BASELINE,Y,,2026-09-18
330,19148293,669000,BASELINE,Y,,2026-09-18
331,19330098,359000,BASELINE,Y,,2026-09-18
332,18637826,469000,BASELINE,Y,,2026-09-18
333,17589776,697000,BASELINE,Y,,2026-09-18
334,19330112,479000,BASELINE,Y,,2026-09-18
335,18642005,697000,BASELINE,Y,,2026-09-18
336,18735139,897000,BASELINE,Y,,2026-09-18
337,19005256,1047000,BASELINE,Y,,2026-09-18
338,18784516,697000,BASELINE,Y,,2026-09-18
339,19334402,229000,BASELINE,Y,,2026-09-18
340,19021761,717000,BASELINE,Y,,2026-09-18
341,19264276,717000,BASELINE,Y,,2026-09-18
342,19334424,399000,BASELINE,Y,,2026-09-18
343,17899855,447000,BASELINE,Y,,2026-09-18
344,18111962,447000,BASELINE,Y,,2026-09-18
345,18924831,587000,BASELINE,Y,,2026-09-18
346,18642035,597000,BASELINE,Y,,2026-09-18
347,18924799,737000,BASELINE,Y,,2026-09-18
348,19013972,617000,BASELINE,Y,,2026-09-18
349,19034859,627000,BASELINE,Y,,2026-09-18
350,18788621,947000,BASELINE,Y,,2026-09-18
351,18221428,947000,BASELINE,Y,,2026-09-18
352,18703112,697000,BASELINE,Y,,2026-09-18
353,18756436,1490000,BASELINE,Y,,2026-09-18
354,18461297,587000,BASELINE,Y,,2026-09-18
355,18870000,447000,BASELINE,Y,,2026-09-18
356,18869980,447000,BASELINE,Y,,2026-09-18
357,18993748,417000,BASELINE,Y,,2026-09-18
358,18580986,837000,BASELINE,Y,,2026-09-18
359,18712125,377000,BASELINE,Y,,2026-09-18
360,18672791,497000,BASELINE,Y,,2026-09-18
361,18866135,537000,BASELINE,Y,,2026-09-18
362,19340785,590000,BASELINE,Y,,2026-09-18
363,19340713,959000,BASELINE,Y,,2026-09-18
364,19338045,585000,BASELINE,Y,,2026-09-18
365,19313868,725000,BASELINE,Y,,2026-09-18
366,19311271,524000,BASELINE,Y,,2026-09-18
367,19299553,669000,BASELINE,Y,,2026-09-18
368,18949031,689000,BASELINE,Y,,2026-09-18
369,18820199,575000,BASELINE,Y,,2026-09-18
370,18818420,410000,BASELINE,Y,,2026-09-18
371,18805832,759000,BASELINE,Y,,2026-09-18
372,19110740,679000,BASELINE,Y,,2026-09-18
373,18774935,329000,BASELINE,Y,,2026-09-18
374,19070642,609000,BASELINE,Y,,2026-09-18
375,19329319,549000,BASELINE,Y,,2026-09-18
376,18904342,279000,BASELINE,Y,,2026-09-18
377,19329328,450000,BASELINE,Y,,2026-09-18
378,19338996,739000,BASELINE,Y,,2026-09-18
379,19338355,889000,BASELINE,Y,,2026-09-18
380,18274082,589000,BASELINE,Y,,2026-09-18
381,19339115,1859000,BASELINE,Y,,2026-09-18
382,19338980,1399000,BASELINE,Y,,2026-09-18
383,19338340,899000,BASELINE,Y,,2026-09-18
384,19338326,969000,BASELINE,Y,,2026-09-18
385,19339216,1149000,BASELINE,Y,,2026-09-18
386,19338958,879000,BASELINE,Y,,2026-09-18
387,18092610,479000,BASELINE,Y,,2026-09-18
388,19339207,1459000,BASELINE,Y,,2026-09-18
389,19339075,969000,BASELINE,Y,,2026-09-18
390,19338946,879000,BASELINE,Y,,2026-09-18
391,19339060,699000,BASELINE,Y,,2026-09-18
392,19339187,1599000,BASELINE,Y,,2026-09-18
393,19338929,549000,BASELINE,Y,,2026-09-18
394,19338414,1399000,BASELINE,Y,,2026-09-18
395,19339048,879000,BASELINE,Y,,2026-09-18
396,19306936,1039000,BASELINE,Y,,2026-09-18
397,19339169,919000,BASELINE,Y,,2026-09-18
398,19339160,1049000,BASELINE,Y,,2026-09-18
399,19339030,929000,BASELINE,Y,,2026-09-18
400,19338390,979000,BASELINE,Y,,2026-09-18
401,19339153,834000,BASELINE,Y,,2026-09-18
402,19339015,1399000,BASELINE,Y,,2026-09-18
403,19338375,879000,BASELINE,Y,,2026-09-18
404,18932765,1349000,BASELINE,Y,,2026-09-18
405,19339142,999000,BASELINE,Y,,2026-09-18
406,19339136,819000,BASELINE,Y,,2026-09-18
407,18968882,459000,BASELINE,Y,,2026-09-18
408,18712619,350000,BASELINE,Y,,2026-09-18
409,19070656,759000,BASELINE,Y,,2026-09-18
410,18021112,590000,BASELINE,Y,,2026-09-18
411,18832745,689000,BASELINE,Y,,2026-09-18
412,18800486,570000,BASELINE,Y,,2026-09-18
413,18774999,589000,BASELINE,Y,,2026-09-18
414,19286326,1090000,BASELINE,Y,,2026-09-18
415,18816442,409000,BASELINE,Y,,2026-09-18
416,18519417,860000,BASELINE,Y,,2026-09-18
417,19282312,1090000,BASELINE,Y,,2026-09-18
418,19061699,690000,BASELINE,Y,,2026-09-18
419,19325733,870000,BASELINE,Y,,2026-09-18
420,18912965,860000,BASELINE,Y,,2026-09-18
421,19306911,919000,BASELINE,Y,,2026-09-18
422,12871151,419000,BASELINE,Y,,2026-09-18
423,19063748,529000,BASELINE,Y,,2026-09-18
424,19130910,828000,BASELINE,Y,,2026-09-18
425,19340876,889000,BASELINE,Y,,2026-09-18
426,18361696,699000,BASELINE,Y,,2026-09-18
427,19240212,349000,BASELINE,Y,,2026-09-18
428,19208530,449000,BASELINE,Y,,2026-09-18
429,19082759,389000,BASELINE,Y,,2026-09-18
430,19119301,559000,BASELINE,Y,,2026-09-18
431,19214572,1039000,BASELINE,Y,,2026-09-18
432,18834350,939000,BASELINE,Y,,2026-09-18
433,19094529,189000,BASELINE,Y,,2026-09-18
434,19318651,379000,BASELINE,Y,,2026-09-18
435,19053133,1099000,BASELINE,Y,,2026-09-18
436,19312569,2299000,BASELINE,Y,,2026-09-18
437,19272285,1190000,BASELINE,Y,,2026-09-18
438,18550547,755000,BASELINE,Y,,2026-09-18
439,19340825,655000,BASELINE,Y,,2026-09-18
440,19340815,539000,BASELINE,Y,,2026-09-18
441,19024929,789000,BASELINE,Y,,2026-09-18
442,19301822,639000,BASELINE,Y,,2026-09-18
443,19051794,699000,BASELINE,Y,,2026-09-18
444,19331733,809000,BASELINE,Y,,2026-09-18
445,19019403,819000,BASELINE,Y,,2026-09-18
446,19340798,859000,BASELINE,Y,,2026-09-18
447,12872747,328000,BASELINE,Y,,2026-09-18
448,19288803,1099000,BASELINE,Y,,2026-09-18
449,18982654,345000,BASELINE,Y,,2026-09-18
450,18858107,358000,BASELINE,Y,,2026-09-18
451,18415862,69000,BASELINE,Y,,2026-09-18
452,18818929,624000,BASELINE,Y,,2026-09-18
453,19277542,178000,BASELINE,Y,,2026-09-18
454,19324126,179000,BASELINE,Y,,2026-09-18
455,19076571,284000,BASELINE,Y,,2026-09-18
456,19301582,145000,BASELINE,Y,,2026-09-18
457,17344192,659000,BASELINE,Y,,2026-09-18
458,18956469,189000,BASELINE,Y,,2026-09-18
459,18956597,499000,BASELINE,Y,,2026-09-18
460,19324079,450000,BASELINE,Y,,2026-09-18
461,15735469,159000,BASELINE,Y,,2026-09-18
462,18858028,398000,BASELINE,Y,,2026-09-18
463,18624666,348000,BASELINE,Y,,2026-09-18
464,19104894,499000,BASELINE,Y,,2026-09-18
465,19301528,359000,BASELINE,Y,,2026-09-18
466,18934806,249000,BASELINE,Y,,2026-09-18
467,19324182,399000,BASELINE,Y,,2026-09-18
468,19233421,619000,BASELINE,Y,,2026-09-18
469,19125896,159000,BASELINE,Y,,2026-09-18
470,19076615,290000,BASELINE,Y,,2026-09-18
471,19324162,639000,BASELINE,Y,,2026-09-18
472,18982785,235000,BASELINE,Y,,2026-09-18
473,19301504,199000,BASELINE,Y,,2026-09-18
474,18706217,629000,BASELINE,Y,,2026-09-18
475,19283066,289000,BASELINE,Y,,2026-09-18
476,18023315,699000,BASELINE,Y,,2026-09-18
477,18903426,599000,BASELINE,Y,,2026-09-18
478,19301718,429000,BASELINE,Y,,2026-09-18
479,19112534,469000,BASELINE,Y,,2026-09-18
480,19218092,309000,BASELINE,Y,,2026-09-18
481,19300717,369000,BASELINE,Y,,2026-09-18
482,19340761,549000,BASELINE,Y,,2026-09-18
483,19093757,539000,BASELINE,Y,,2026-09-18
484,19010234,1190000,BASELINE,Y,,2026-09-18
485,19318958,479000,BASELINE,Y,,2026-09-18
486,19331221,259999,BASELINE,Y,,2026-09-18
487,19331173,319000,BASELINE,Y,,2026-09-18
488,19285777,189000,BASELINE,Y,,2026-09-18
489,19331209,459999,BASELINE,Y,,2026-09-18
490,19271382,615000,BASELINE,Y,,2026-09-18
491,19036120,425000,BASELINE,Y,,2026-09-18
492,16554702,319000,BASELINE,Y,,2026-09-18
493,18464188,699000,BASELINE,Y,,2026-09-18
494,19028281,629000,BASELINE,Y,,2026-09-18
495,19272955,1400000,BASELINE,Y,,2026-09-18
496,19299753,395000,BASELINE,Y,,2026-09-18
497,19272962,129000,BASELINE,Y,,2026-09-18
498,18820595,485000,BASELINE,Y,,2026-09-18
499,18758902,399000,BASELINE,Y,,2026-09-18
500,19006075,389000,BASELINE,Y,,2026-09-18
501,18948465,220000,BASELINE,Y,,2026-09-18
502,19239899,359000,BASELINE,Y,,2026-09-18
503,19340721,320000,BASELINE,Y,,2026-09-18
504,19254039,379000,BASELINE,Y,,2026-09-18
505,19234738,329000,BASELINE,Y,,2026-09-18
506,19340694,349000,BASELINE,Y,,2026-09-18
507,19315482,1890000,BASELINE,Y,,2026-09-18
508,18767458,666000,BASELINE,Y,,2026-09-18
509,18242304,1090000,BASELINE,Y,,2026-09-18
510,19315469,449000,BASELINE,Y,,2026-09-18
511,19301174,789000,BASELINE,Y,,2026-09-18
512,19221955,2559000,BASELINE,Y,,2026-09-18
513,19076237,409000,BASELINE,Y,,2026-09-18
514,19216737,755000,BASELINE,Y,,2026-09-18
515,18774625,228000,BASELINE,Y,,2026-09-18
516,18553374,655000,BASELINE,Y,,2026-09-18
517,16756267,399000,BASELINE,Y,,2026-09-18
518,16184264,655000,BASELINE,Y,,2026-09-18
519,19340682,859000,BASELINE,Y,,2026-09-18
520,16296920,1398000,BASELINE,Y,,2026-09-18
521,19244761,449000,BASELINE,Y,,2026-09-18
522,18507097,2398000,BASELINE,Y,,2026-09-18
523,19042783,799000,BASELINE,Y,,2026-09-18
524,18780598,439000,BASELINE,Y,,2026-09-18
525,19200350,779000,BASELINE,Y,,2026-09-18
526,18825685,1299000,BASELINE,Y,,2026-09-18
527,18900887,1429000,BASELINE,Y,,2026-09-18
528,19032480,2099000,BASELINE,Y,,2026-09-18
529,19294204,629000,BASELINE,Y,,2026-09-18
530,18579919,539000,BASELINE,Y,,2026-09-18
